Code,County,Population,Area,Density
40,Menominee,4267,357.6146,12
19,Florence,4267,488.1229,9
26,Iron,5909,758.2086,8
47,Pepin,7393,232.0067,32
21,Forest,9183,1014.24,9
6,Buffalo,13671,675.7905,20
51,Price,14170,1254.06,11
55,Rusk,14879,913.5532,16
4,Bayfield,15334,1477.87,10
39,Marquette,15387,455.7118,34
7,Burnett,15486,821.5609,19
2,Ashland,15871,1044.98,15
66,Washburn,15993,797.1141,20
12,Crawford,16679,570.6478,29
58,Sawyer,16903,1257.63,13
33,Lafayette,17007,633.588,27
53,Richland,18034,586.1495,31
24,Green Lake,19178,349.544,55
34,Langlade,20063,870.6983,23
1,Adams,20701,645.6462,32
31,Kewaunee,20746,342.454,61
61,Taylor,20793,975.0513,21
27,Jackson,20828,987.9149,21
64,Vilas,21769,857.7072,25
25,Iowa,23915,762.6984,31
70,Waushara,24436,626.1617,39
29,Juneau,27250,767.0806,36
15,Door,28770,481.9626,60
35,Lincoln,28800,878.7039,33
62,Trempealeau,30047,733.0044,41
63,Vernon,30496,791.5618,39
10,Clark,34725,1209.70,29
44,Oneida,36268,1113.94,33
23,Green,36967,584.044,63
43,Oconto,38853,997.4812,39
38,Marinette,41255,1399.47,29
59,Shawano,41739,893.2249,47
48,Pierce,42413,574.0183,74
16,Douglas,44246,1304.29,34
49,Polk,44628,914.3199,49
17,Dunn,44788,850.1604,53
3,Barron,46522,863.0413,54
42,Monroe,46882,900.9036,52
69,Waupaca,52155,747.6936,70
22,Grant,52572,1146.88,46
8,Calumet,53338,318.2811,168
11,Columbia,57134,765.5465,75
57,Sauk,63343,831.5428,76
9,Chippewa,65339,1008.36,65
50,Portage,71670,800.8755,89
72,Wood,75381,793.0157,95
36,Manitowoc,81349,589.3045,138
28,Jefferson,84692,556.4914,152
14,Dodge,90005,875.697,103
46,Ozaukee,90630,233.0182,389
56,St. Croix,90949,722.4541,126
18,Eau Claire,103959,637.9223,163
65,Walworth,104086,555.4192,187
20,Fond du Lac,104370,719.5659,145
60,Sheboygan,116924,511.5279,229
32,La Crosse,120447,451.7691,267
37,Marathon,137237,1545.18,89
67,Washington,138268,430.6438,321
54,Rock,160120,718.1446,223
71,Winnebago,169861,434.6969,391
30,Kenosha,170514,271.845,627
45,Outagamie,187661,637.5784,294
52,Racine,195766,332.5897,589
5,Brown,264821,530.0925,500
68,Waukesha,406785,549.7209,740
13,Dane,543408,1196.49,454
41,Milwaukee,944099,241.4819,3910
